local_term,english_term,language,status
ginasakit tuhod ko,knee pain,hiligaynon,active
ginasakit tuhod man,knee pain,hiligaynon,active
ginasakit tuhod subong,knee pain,hiligaynon,active
ginasakit tungod akon,throat pain,hiligaynon,active
ginasakit tungod gid ko,throat pain,hiligaynon,active
ginasakit tungod ko,throat pain,hiligaynon,active
ginasakit tungod man,throat pain,hiligaynon,active
ginasakit tungod subong,throat pain,hiligaynon,active
ginasakit tungtong ako,ankle pain,hiligaynon,active
ginasakit tungtong akon,ankle pain,hiligaynon,active
ginasakit tungtong akon gid,ankle pain,hiligaynon,active
ginasakit tungtong akon subong,ankle pain,hiligaynon,active
ginasakit tungtong gid ko,ankle pain,hiligaynon,active
ginasakit tungtong ko,ankle pain,hiligaynon,active
ginasakit tungtong ko gid,ankle pain,hiligaynon,active
ginasakit tungtong ko man,ankle pain,hiligaynon,active
ginasakit tungtong man,ankle pain,hiligaynon,active
ginasakit tungtong subong,ankle pain,hiligaynon,active
ginasakit ulo akon,head pain,hiligaynon,active
ginasakit ulo gid ko,head pain,hiligaynon,active
ginasakit ulo ko,head pain,hiligaynon,active
ginasakit ulo man,head pain,hiligaynon,active
ginasakit ulo subong,head pain,hiligaynon,active
ginasakit utok akon,brain pain,hiligaynon,active
ginasakit utok gid ko,brain pain,hiligaynon,active
ginasakit utok ko,brain pain,hiligaynon,active
ginasakit utok man,brain pain,hiligaynon,active
ginasakit utok subong,brain pain,hiligaynon,active
ginasip-on,runny nose,hiligaynon,active
ginasthma,asthma,hiligaynon,active
ginasuka dugo ko,bloody vomit,hiligaynon,active
ginasuka gid ko,severe vomiting,hiligaynon,active
ginasuka kag ginabaldom ko,nausea with abdominal pain,hiligaynon,active
ginasuka kag ginadudul-om ko,vomiting with diarrhea,hiligaynon,active
ginasuka ko,nausea,hiligaynon,active
ginasuka ko kag ginadudul-om ko,vomiting with diarrhea,hiligaynon,active
ginasuka ko upod sang ginadudul-om ko,vomiting with diarrhea,hiligaynon,active
ginasuka sing malala,severe vomiting,hiligaynon,active
ginataas ang presyon,hypertension,hiligaynon,active
ginatamad,fatigue,hiligaynon,active
ginatb,tuberculosis,hiligaynon,active
ginatugnaw,chills,hiligaynon,active
ginatulo,diarrhea,hiligaynon,active
ginatulo gid ilong ko,runny nose,hiligaynon,active
ginatulo ilong ko,runny nose,hiligaynon,active
ginatulo sing dugo,bloody diarrhea,hiligaynon,active
ginaubo,cough,hiligaynon,active
ginauhaw gid ko,excessive thirst,hiligaynon,active
ginauubo,cough,hiligaynon,active
ginauubo ko,cough,hiligaynon,active
ginauubo sing malala,severe cough,hiligaynon,active
ginkagat ahas ako,snake bite,hiligaynon,active
ginkagat ako sang ahas,snake bite,hiligaynon,active
ginkagat ako sang ido,dog bite,hiligaynon,active
ginkagat ako sang ipis,cockroach bite,hiligaynon,active
ginkagat ako sang kuring,cat bite,hiligaynon,active
ginkagat ako sang lamok,mosquito bite,hiligaynon,active
ginkagat ako sang manok,animal bite,hiligaynon,active
ginkagat ako sang sapat,animal bite,hiligaynon,active
ginkagat ido ako,dog bite,hiligaynon,active
ginkagat ido ko,dog bite,hiligaynon,active
ginkagat ipis ako,cockroach bite,hiligaynon,active
ginkagat kuring ako,cat bite,hiligaynon,active
ginkagat lamok ako,mosquito bite,hiligaynon,active
ginkagat manok ako,animal bite,hiligaynon,active
ginkagat sang ahas ko,snake bite,hiligaynon,active
ginkagat sang ahas ku,snake bite,hiligaynon,active
ginkagat sang ido ko,dog bite,hiligaynon,active
ginkagat sang ido ko kag nag dugo,dog bite with bleeding,hiligaynon,active
ginkagat sang ido ko kag nagdugo,dog bite with bleeding,hiligaynon,active
ginkagat sang ido ku,dog bite,hiligaynon,active
ginkagat sang ido ku kag nagdugo,dog bite with bleeding,hiligaynon,active
ginkagat sang ipis ko,cockroach bite,hiligaynon,active
ginkagat sang kuring ko,cat bite,hiligaynon,active
ginkagat sang lamok ko,mosquito bite,hiligaynon,active
ginkagat sang manok ko,animal bite,hiligaynon,active
ginkagat sang sapat ko,animal bite,hiligaynon,active
ginkagat sapat ako,animal bite,hiligaynon,active
ginpangayo ko doctor budlay gid gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko mag ginhawa subong gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko mag ginhawa subong gid ko,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko mag ginhawa subong ko gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko mag ginhawa subong man,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko mag ginhawa subong na gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
ginpangayo ko doctor budlay gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
ginpangayo ko doctor gadugo bilat ko,vaginal bleeding,hiligaynon,active
ginpangayo ko doctor gahabok dila ko gid gid,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahabok dila ko gid gid ko,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahabok dila ko gid ko gid,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahabok dila ko gid man,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahabok dila ko gid na gid,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahubag dila ko gid gid,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahubag dila ko gid gid ko,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahubag dila ko gid ko gid,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahubag dila ko gid man,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahubag dila ko gid na gid,swollen tongue,hiligaynon,active
ginpangayo ko doctor gahubag itlog ko,testicular swelling,hiligaynon,active
ginpangayo ko doctor galuya lawas ko kag kapoy gid gid,body weakness with severe fatigue,hiligaynon,active
ginpangayo ko doctor galuya lawas ko kag kapoy gid gid ko,body weakness with severe fatigue,hiligaynon,active
ginpangayo ko doctor galuya lawas ko kag kapoy gid ko gid,body weakness with severe fatigue,hiligaynon,active
ginpangayo ko doctor galuya lawas ko kag kapoy gid man,body weakness with severe fatigue,hiligaynon,active
ginpangayo ko doctor galuya lawas ko kag kapoy gid na gid,body weakness with severe fatigue,hiligaynon,active
ginpangayo ko doctor gapula mata ko kag gakatol gid,red itchy eyes,hiligaynon,active
ginpangayo ko doctor gapula mata ko kag gakatol gid ko,red itchy eyes,hiligaynon,active
ginpangayo ko doctor gapula mata ko kag gakatol ko gid,red itchy eyes,hiligaynon,active
ginpangayo ko doctor gapula mata ko kag gakatol man,red itchy eyes,hiligaynon,active
ginpangayo ko doctor gapula mata ko kag gakatol na gid,red itchy eyes,hiligaynon,active
ginpangayo ko doctor gasakit ulo ko karon gid,head pain,hiligaynon,active
ginpangayo ko doctor gasakit ulo ko karon gid ko,head pain,hiligaynon,active
ginpangayo ko doctor gasakit ulo ko karon ko gid,head pain,hiligaynon,active
ginpangayo ko doctor gasakit ulo ko karon man,head pain,hiligaynon,active
ginpangayo ko doctor gasakit ulo ko karon na gid,head pain,hiligaynon,active
ginpangayo ko doctor gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
ginpangayo ko doctor ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
ginpangayo ko doctor ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
ginpangayo ko doctor ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
ginpangayo ko doctor ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
ginpangayo ko doctor ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
ginpangayo ko doctor kakatol bilat ko,vaginal itching,hiligaynon,active
ginpangayo ko doctor masakit ari ko,penile pain,hiligaynon,active
ginpangayo ko doctor may nana akon mata subong gid,eye infection,hiligaynon,active
ginpangayo ko doctor may nana akon mata subong gid ko,eye infection,hiligaynon,active
ginpangayo ko doctor may nana akon mata subong ko gid,eye infection,hiligaynon,active
ginpangayo ko doctor may nana akon mata subong man,eye infection,hiligaynon,active
ginpangayo ko doctor may nana akon mata subong na gid,eye infection,hiligaynon,active
ginpangayo ko doctor may nana sa bilat ko,vaginal infection,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nag dugo man,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
ginpangayo ko doctor nabali kamot ko sang natumba gid,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali kamot ko sang natumba man,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali kamot ko sang natumba na gid,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali na kamot ko sang natumba gid,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali na kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali na kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali na kamot ko sang natumba man,hand fracture,hiligaynon,active
ginpangayo ko doctor nabali na kamot ko sang natumba na gid,hand fracture,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ko doctor nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
ginpangayo ko doctor nakuryente ko sang kuryente gid,electrical injury,hiligaynon,active
ginpangayo ko doctor nakuryente ko sang kuryente gid ko,electrical injury,hiligaynon,active
ginpangayo ko doctor nakuryente ko sang kuryente ko gid,electrical injury,hiligaynon,active
ginpangayo ko doctor nakuryente ko sang kuryente man,electrical injury,hiligaynon,active
ginpangayo ko doctor nakuryente ko sang kuryente na gid,electrical injury,hiligaynon,active
ginpangayo ko doctor nautod na tudlo ko sang makina gid,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod na tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod na tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod na tudlo ko sang makina man,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod na tudlo ko sang makina na gid,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod tudlo ko sang makina gid,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod tudlo ko sang makina man,amputated finger,hiligaynon,active
ginpangayo ko doctor nautod tudlo ko sang makina na gid,amputated finger,hiligaynon,active
ginpangayo ko doctor ubo ko kag ginahilanat gid,fever with cough,hiligaynon,active
ginpangayo ko doctor ubo ko kag ginahilanat gid ko,fever with cough,hiligaynon,active
ginpangayo ko doctor ubo ko kag ginahilanat ko gid,fever with cough,hiligaynon,active
ginpangayo ko doctor ubo ko kag ginahilanat man,fever with cough,hiligaynon,active
ginpangayo ko doctor ubo ko kag ginahilanat na gid,fever with cough,hiligaynon,active
ginpangayo ku doctor budlay gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
ginpangayo ku doctor budlay gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
ginpangayo ku doctor budlay gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
ginpangayo ku doctor budlay gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
ginpangayo ku doctor budlay gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
ginpangayo ku doctor gahabok dila ko gid gid,swollen tongue,hiligaynon,active
ginpangayo ku doctor gahabok dila ko gid gid ko,swollen tongue,hiligaynon,active
ginpangayo ku doctor gahabok dila ko gid ko gid,swollen tongue,hiligaynon,active
ginpangayo ku doctor gahabok dila ko gid man,swollen tongue,hiligaynon,active
ginpangayo ku doctor gahabok dila ko gid na gid,swollen tongue,hiligaynon,active
ginpangayo ku doctor ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
ginpangayo ku doctor ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
ginpangayo ku doctor ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
ginpangayo ku doctor ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
ginpangayo ku doctor ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
ginpangayo ku doctor ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
ginpangayo ku doctor ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
ginpangayo ku doctor ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
ginpangayo ku doctor ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
ginpangayo ku doctor ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
ginpangayo ku doctor may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
ginpangayo ku doctor may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
ginpangayo ku doctor may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
ginpangayo ku doctor may pilas ko sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
ginpangayo ku doctor may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
ginpangayo ku doctor nabali kamot ko sang natumba gid,hand fracture,hiligaynon,active
ginpangayo ku doctor nabali kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
ginpangayo ku doctor nabali kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
ginpangayo ku doctor nabali kamot ko sang natumba man,hand fracture,hiligaynon,active
ginpangayo ku doctor nabali kamot ko sang natumba na gid,hand fracture,hiligaynon,active
ginpangayo ku doctor nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ku doctor nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ku doctor nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ku doctor nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ku doctor nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
ginpangayo ku doctor nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
ginpangayo ku doctor nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
ginpangayo ku doctor nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
ginpangayo ku doctor nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
ginpangayo ku doctor nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
ginpangayo ku doctor nakuryente ko sang kuryente gid,electrical injury,hiligaynon,active
ginpangayo ku doctor nakuryente ko sang kuryente gid ko,electrical injury,hiligaynon,active
ginpangayo ku doctor nakuryente ko sang kuryente ko gid,electrical injury,hiligaynon,active
ginpangayo ku doctor nakuryente ko sang kuryente man,electrical injury,hiligaynon,active
ginpangayo ku doctor nakuryente ko sang kuryente na gid,electrical injury,hiligaynon,active
ginpangayo ku doctor nautod tudlo ko sang makina gid,amputated finger,hiligaynon,active
ginpangayo ku doctor nautod tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
ginpangayo ku doctor nautod tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
ginpangayo ku doctor nautod tudlo ko sang makina man,amputated finger,hiligaynon,active
ginpangayo ku doctor nautod tudlo ko sang makina na gid,amputated finger,hiligaynon,active
ginsumbag ako,physical assault,hiligaynon,active
ginsumbag ko,physical assault,hiligaynon,active
ginsumbag ko kag nabun-og ulo,physical assault with head bruise,hiligaynon,active
ginsumbag ku kag nabun-og ulo,physical assault with head bruise,hiligaynon,active
glaucoma,glaucoma,hiligaynon,active
gluten allergy,gluten allergy,hiligaynon,active
goiter,goiter,hiligaynon,active
gout,gout,hiligaynon,active
grabe gid nagadugo ari ko,severe penis bleeding,hiligaynon,active
grabe gid nagadugo ari ko ko,severe penis bleeding,hiligaynon,active
grabe gid nagadugo ary ko,severe penis bleeding,hiligaynon,active
grabe gid nagadugo ary ko ko,severe penis bleeding,hiligaynon,active
grabe gid nagadugo bilad ko,severe vagina bleeding,hiligaynon,active
grabe gid nagadugo bilad ko ko,severe vagina bleeding,hiligaynon,active
grabe gid nagadugo bilat ko,severe vaginal bleeding,hiligaynon,active
grabe gid nagadugo bilat ko ko,severe vagina bleeding,hiligaynon,active
grabe gid nagadugo itlog ko,severe testicle bleeding,hiligaynon,active
grabe gid nagadugo itlog ko ko,severe testicle bleeding,hiligaynon,active
grabe gid nagadugo itlug ko,severe testicle bleeding,hiligaynon,active
grabe gid nagadugo itlug ko ko,severe testicle bleeding,hiligaynon,active
grabe gid nagdugo ari ko,severe penis bleeding,hiligaynon,active
grabe gid nagdugo ari ko ko,severe penis bleeding,hiligaynon,active
grabe gid nagdugo ary ko,severe penis bleeding,hiligaynon,active
grabe gid nagdugo ary ko ko,severe penis bleeding,hiligaynon,active
grabe gid nagdugo bilad ko,severe vagina bleeding,hiligaynon,active
grabe gid nagdugo bilad ko ko,severe vagina bleeding,hiligaynon,active
grabe gid nagdugo bilat ko,severe vagina bleeding,hiligaynon,active
grabe gid nagdugo bilat ko ko,severe vagina bleeding,hiligaynon,active
grabe gid nagdugo itlog ko,severe testicle bleeding,hiligaynon,active
grabe gid nagdugo itlog ko ko,severe testicle bleeding,hiligaynon,active
grabe gid nagdugo itlug ko,severe testicle bleeding,hiligaynon,active
grabe gid nagdugo itlug ko ko,severe testicle bleeding,hiligaynon,active
gusto ko magpakamatay,suicidal ideation,hiligaynon,active
h.i.v.,hiv/aids,hiligaynon,active
hair dye allergy,contact dermatitis,hiligaynon,active
hapdi abaga ako,shoulder pain,hiligaynon,active
hapdi abaga akon,shoulder pain,hiligaynon,active
hapdi abaga akon gid,shoulder pain,hiligaynon,active
hapdi abaga akon subong,shoulder pain,hiligaynon,active
hapdi abaga gid ko,shoulder pain,hiligaynon,active
hapdi abaga ko,shoulder pain,hiligaynon,active
hapdi abaga ko gid,shoulder pain,hiligaynon,active
hapdi abaga ko man,shoulder pain,hiligaynon,active
hapdi abaga man,shoulder pain,hiligaynon,active
hapdi abaga subong,shoulder pain,hiligaynon,active
hapdi acun itlog,testicular pain,hiligaynon,active
hapdi acun itlog ko,testicular pain,hiligaynon,active
hapdi acun itlug,testicular pain,hiligaynon,active
hapdi acun itlug ko,testicular pain,hiligaynon,active
hapdi akon abaga,shoulder pain,hiligaynon,active
hapdi akon ari,penile pain,hiligaynon,active
hapdi akon ari ko,penile pain,hiligaynon,active
hapdi akon ary,penile pain,hiligaynon,active
hapdi akon ary ko,penile pain,hiligaynon,active
hapdi akon atay,liver pain,hiligaynon,active
hapdi akon awang,jaw pain,hiligaynon,active
hapdi akon baba,mouth pain,hiligaynon,active
hapdi akon balat,skin pain,hiligaynon,active
hapdi akon batiis,leg pain,hiligaynon,active
hapdi akon bato,kidney pain,hiligaynon,active
hapdi akon bayag,scrotal pain,hiligaynon,active
hapdi akon baywang,waist pain,hiligaynon,active
hapdi akon bilad,vaginal pain,hiligaynon,active
hapdi akon bilad ko,vaginal pain,hiligaynon,active
hapdi akon bilat,vaginal pain,hiligaynon,active
hapdi akon bilat ko,vaginal pain,hiligaynon,active
hapdi akon buhok,hair pain,hiligaynon,active
hapdi akon bukong,forehead pain,hiligaynon,active
hapdi akon buuk,arm pain,hiligaynon,active
hapdi akon dalunggan,ear pain,hiligaynon,active
hapdi akon dila,tongue pain,hiligaynon,active
hapdi akon dughan,chest pain,hiligaynon,active
hapdi akon ilong,nose pain,hiligaynon,active
hapdi akon itlog,testicular pain,hiligaynon,active
hapdi akon itlog ko,testicular pain,hiligaynon,active
hapdi akon itlog ku,testicular pain,hiligaynon,active
hapdi akon itlug,testicular pain,hiligaynon,active
hapdi akon itlug ko,testicular pain,hiligaynon,active
hapdi akon itlug ku,testicular pain,hiligaynon,active
hapdi akon kamot,hand pain,hiligaynon,active
hapdi akon kipay,vulvar pain,hiligaynon,active
hapdi akon kuko,nail pain,hiligaynon,active
hapdi akon lawas,body pain,hiligaynon,active
hapdi akon lawi,nape pain,hiligaynon,active
hapdi akon likod,back pain,hiligaynon,active
hapdi akon liog,neck pain,hiligaynon,active
hapdi akon mata,eye pain,hiligaynon,active
hapdi akon ngipon,tooth pain,hiligaynon,active
hapdi akon paa,foot pain,hiligaynon,active
hapdi akon pilas,wound pain,hiligaynon,active
hapdi akon pisngi,cheek pain,hiligaynon,active
hapdi akon siko,elbow pain,hiligaynon,active
hapdi akon singit,groin pain,hiligaynon,active
hapdi akon tadlong,forearm pain,hiligaynon,active
hapdi akon tagipusuon,heart pain,hiligaynon,active
hapdi akon tai,buttocks pain,hiligaynon,active
hapdi akon tiil,foot pain,hiligaynon,active
hapdi akon tikod,heel pain,hiligaynon,active
hapdi akon titi,breast pain,hiligaynon,active
hapdi akon tiyan,abdominal pain,hiligaynon,active
hapdi akon tudlo,finger pain,hiligaynon,active
hapdi akon tuhod,knee pain,hiligaynon,active
hapdi akon tungod,throat pain,hiligaynon,active
hapdi akon tungtong,ankle pain,hiligaynon,active
hapdi akon ulo,head pain,hiligaynon,active
hapdi akon utok,brain pain,hiligaynon,active
hapdi ari ako,penile pain,hiligaynon,active
hapdi ari akon,penile pain,hiligaynon,active
hapdi ari akon gid,penile pain,hiligaynon,active
hapdi ari akon subong,penile pain,hiligaynon,active
hapdi ari gid ko,penile pain,hiligaynon,active
hapdi ari ko,penile pain,hiligaynon,active
hapdi ari ko ako,penile pain,hiligaynon,active
hapdi ari ko akon,penile pain,hiligaynon,active
hapdi ari ko akon gid,penile pain,hiligaynon,active
hapdi ari ko akon subong,penile pain,hiligaynon,active
hapdi ari ko gid,penile pain,hiligaynon,active
hapdi ari ko gid ko,penile pain,hiligaynon,active
hapdi ari ko ko,penile pain,hiligaynon,active
hapdi ari ko ko gid,penile pain,hiligaynon,active
hapdi ary ako,penile pain,hiligaynon,active
hapdi ary akon,penile pain,hiligaynon,active
hapdi ary akon gid,penile pain,hiligaynon,active
hapdi ary akon subong,penile pain,hiligaynon,active
hapdi ary gid ko,penile pain,hiligaynon,active
hapdi ary ko,penile pain,hiligaynon,active
