entity,entity_type,normalized,status
Abnormal Platelet Morphology,symptom,abnormal platelet morphology,active
Abnormal Platelet Phosphatidylserine Exposure,symptom,abnormal platelet phosphatidylserine exposure,active
Abnormal Platelet Shape,symptom,abnormal platelet shape,active
Abnormal Platelet Volume,symptom,abnormal platelet volume,active
Abnormal Platysma Muscle Morphology,symptom,abnormal platysma muscle morphology,active
Abnormal Play,symptom,abnormal play,active
Abnormal Pleura Morphology,symptom,abnormal pleura morphology,active
Abnormal PNS Synaptic Transmission,symptom,abnormal pns synaptic transmission,active
Abnormal Podocyte Morphology,symptom,abnormal podocyte morphology,active
Abnormal Pons Morphology,symptom,abnormal pons morphology,active
Abnormal Portal Venous System Morphology,symptom,abnormal portal venous system morphology,active
Abnormal Position of Hair Whorl,symptom,abnormal position of hair whorl,active
Abnormal Position of the Lacrimal Punctum,symptom,abnormal position of the lacrimal punctum,active
Abnormal Posterior Circulating Artery Morphology,symptom,abnormal posterior circulating artery morphology,active
Abnormal Posterior Cranial Fossa Morphology,symptom,abnormal posterior cranial fossa morphology,active
Abnormal Posterior Eye Segment Morphology,symptom,abnormal posterior eye segment morphology,active
Abnormal Posterior Periventricular White Matter Morphology,symptom,abnormal posterior periventricular white matter morphology,active
Abnormal Posterior Pituitary Morphogenesis,symptom,abnormal posterior pituitary morphogenesis,active
Abnormal Posterior Segment Imaging,symptom,abnormal posterior segment imaging,active
Abnormal Posterior Semicircular Canal Morphology,symptom,abnormal posterior semicircular canal morphology,active
Abnormal Postural Reaction,symptom,abnormal postural reaction,active
Abnormal Postural Reflex,symptom,abnormal postural reflex,active
Abnormal Posture,symptom,abnormal posture,active
Abnormal Posturing,symptom,abnormal posturing,active
Abnormal PR Interval,symptom,abnormal pr interval,active
Abnormal PR Segment,symptom,abnormal pr segment,active
Abnormal Preimplantation Embryonic Development,symptom,abnormal preimplantation embryonic development,active
Abnormal Premolar Morphology,symptom,abnormal premolar morphology,active
Abnormal Preoccupation,symptom,abnormal preoccupation,active
Abnormal Preputium Morphology,symptom,abnormal preputium morphology,active
Abnormal Presence of Ultra-large Von Willebrand Factor Multimers,symptom,abnormal presence of ultra-large von willebrand factor multimers,active
Abnormal Primary Molar Morphology,symptom,abnormal primary molar morphology,active
Abnormal Prints On Feet,symptom,abnormal prints on feet,active
Abnormal Probe-to-bone Test,symptom,abnormal probe-to-bone test,active
Abnormal Proerythroblast Morphology,symptom,abnormal proerythroblast morphology,active
Abnormal Prolactin Level,symptom,abnormal prolactin level,active
Abnormal Prominence of the Crus of the Ear,symptom,abnormal prominence of the crus of the ear,active
Abnormal Proportion of CD19+/CD21low B Cells,symptom,abnormal proportion of cd19+/cd21low b cells,active
Abnormal Proportion of CD19+CD27+IgD- Cells,symptom,abnormal proportion of cd19+cd27+igd- cells,active
Abnormal Proportion of CD19+CD38+IgM+ Cells,symptom,abnormal proportion of cd19+cd38+igm+ cells,active
Abnormal Proportion of CD4+ Memory T Cells,symptom,abnormal proportion of cd4+ memory t cells,active
Abnormal Proportion of CD4+ T Cells,symptom,abnormal proportion of cd4+ t cells,active
Abnormal Proportion of CD4+CD29+ Cells,symptom,abnormal proportion of cd4+cd29+ cells,active
Abnormal Proportion of CD4+CD45RA+ Cells,symptom,abnormal proportion of cd4+cd45ra+ cells,active
Abnormal Proportion of CD4-positive Helper T Cells,symptom,abnormal proportion of cd4-positive helper t cells,active
Abnormal Proportion of CD4-positive Memory T Cells,symptom,abnormal proportion of cd4-positive memory t cells,active
Abnormal Proportion of CD4-positive T Cells,symptom,abnormal proportion of cd4-positive t cells,active
"Abnormal Proportion of CD4-positive, Alpha-beta T Cells",symptom,"abnormal proportion of cd4-positive, alpha-beta t cells",active
Abnormal Proportion of CD8+ T Cells,symptom,abnormal proportion of cd8+ t cells,active
Abnormal Proportion of CD8-positive Memory T Cells,symptom,abnormal proportion of cd8-positive memory t cells,active
Abnormal Proportion of CD8-positive T Cells,symptom,abnormal proportion of cd8-positive t cells,active
Abnormal Proportion of CD8-positive TEMRA T Cells,symptom,abnormal proportion of cd8-positive temra t cells,active
"Abnormal Proportion of CD8-positive, Alpha-beta T Cells",symptom,"abnormal proportion of cd8-positive, alpha-beta t cells",active
Abnormal Proportion of Central Memory CD8-positive T Cells,symptom,abnormal proportion of central memory cd8-positive t cells,active
Abnormal Proportion of Circulating T-helper Cells,symptom,abnormal proportion of circulating t-helper cells,active
Abnormal Proportion of Class-switched Memory B Cells,symptom,abnormal proportion of class-switched memory b cells,active
Abnormal Proportion of Double-negative Regulatory T Cell,symptom,abnormal proportion of double-negative regulatory t cell,active
Abnormal Proportion of Effector Memory CD8-positive T Cells,symptom,abnormal proportion of effector memory cd8-positive t cells,active
Abnormal Proportion of Exhausted T Cells,symptom,abnormal proportion of exhausted t cells,active
Abnormal Proportion of Gamma-delta T Cells,symptom,abnormal proportion of gamma-delta t cells,active
Abnormal Proportion of Gamma-delta T Lymphocytes,symptom,abnormal proportion of gamma-delta t lymphocytes,active
Abnormal Proportion of Gammadelta T Cells,symptom,abnormal proportion of gammadelta t cells,active
Abnormal Proportion of HLA DR+ CD4+ T Cells,symptom,abnormal proportion of hla dr+ cd4+ t cells,active
Abnormal Proportion of HLA DR+ CD8+ T Cells,symptom,abnormal proportion of hla dr+ cd8+ t cells,active
Abnormal Proportion of Immature B Cells,symptom,abnormal proportion of immature b cells,active
Abnormal Proportion of Marginal Zone B Cells,symptom,abnormal proportion of marginal zone b cells,active
Abnormal Proportion of Memory B Cells,symptom,abnormal proportion of memory b cells,active
Abnormal Proportion of Memory T Cells,symptom,abnormal proportion of memory t cells,active
Abnormal Proportion of Naive B Cells,symptom,abnormal proportion of naive b cells,active
Abnormal Proportion of Naive CD4 T Cells,symptom,abnormal proportion of naive cd4 t cells,active
Abnormal Proportion of Naive CD8 T Cells,symptom,abnormal proportion of naive cd8 t cells,active
Abnormal Proportion of Naive T Cells,symptom,abnormal proportion of naive t cells,active
"Abnormal Proportion of Naive Thymus-derived CD4-positive, Alpha-beta T Cells",symptom,"abnormal proportion of naive thymus-derived cd4-positive, alpha-beta t cells",active
"Abnormal Proportion of Naive Thymus-derived, Alpha-beta T Cells",symptom,"abnormal proportion of naive thymus-derived, alpha-beta t cells",active
Abnormal Proportion of Non-class-switched Memory B Cells,symptom,abnormal proportion of non-class-switched memory b cells,active
Abnormal Proportion of Regulatory T Cells,symptom,abnormal proportion of regulatory t cells,active
Abnormal Proportion of RTE CD4+ T Cells,symptom,abnormal proportion of rte cd4+ t cells,active
Abnormal Proportion of Transitional B Cells,symptom,abnormal proportion of transitional b cells,active
Abnormal Proportion of Unswitched Memory B Cells,symptom,abnormal proportion of unswitched memory b cells,active
Abnormal Prosody,symptom,abnormal prosody,active
Abnormal Prostate Morphology,symptom,abnormal prostate morphology,active
Abnormal Protein Glycosylation,symptom,abnormal protein glycosylation,active
Abnormal Protein N-linked Glycosylation,symptom,abnormal protein n-linked glycosylation,active
Abnormal Protein O-linked Glycosylation,symptom,abnormal protein o-linked glycosylation,active
Abnormal Prothrombin Time,symptom,abnormal prothrombin time,active
Abnormal Proximal Convoluted Tubule Morphology,symptom,abnormal proximal convoluted tubule morphology,active
Abnormal Proximal Femoral Metaphysis Morphology,symptom,abnormal proximal femoral metaphysis morphology,active
Abnormal Proximal Phalanx Morphology of the Hand,symptom,abnormal proximal phalanx morphology of the hand,active
Abnormal Proximal Radial Epiphysis Morphology,symptom,abnormal proximal radial epiphysis morphology,active
Abnormal Proximal Ulnar Epiphysis Morphology,symptom,abnormal proximal ulnar epiphysis morphology,active
Abnormal Psychotic Pattern,symptom,abnormal psychotic pattern,active
Abnormal PT,symptom,abnormal pt,active
Abnormal Pubic Bone Morphology,symptom,abnormal pubic bone morphology,active
Abnormal Pulmonary Alveolar System Development,symptom,abnormal pulmonary alveolar system development,active
Abnormal Pulmonary Alveolar System Morphology,symptom,abnormal pulmonary alveolar system morphology,active
Abnormal Pulmonary Artery Morphology,symptom,abnormal pulmonary artery morphology,active
Abnormal Pulmonary Artery Physiology,symptom,abnormal pulmonary artery physiology,active
Abnormal Pulmonary Circulation,symptom,abnormal pulmonary circulation,active
Abnormal Pulmonary Fissure Architecture,symptom,abnormal pulmonary fissure architecture,active
Abnormal Pulmonary Fissure Count,symptom,abnormal pulmonary fissure count,active
Abnormal Pulmonary Fissure Morphology,symptom,abnormal pulmonary fissure morphology,active
Abnormal Pulmonary Function Test,symptom,abnormal pulmonary function test,active
Abnormal Pulmonary Interstitial Morphology,symptom,abnormal pulmonary interstitial morphology,active
Abnormal Pulmonary Lobation,symptom,abnormal pulmonary lobation,active
Abnormal Pulmonary Lymphatics,symptom,abnormal pulmonary lymphatics,active
Abnormal Pulmonary Situs Morphology,symptom,abnormal pulmonary situs morphology,active
Abnormal Pulmonary Thoracic Imaging Finding,symptom,abnormal pulmonary thoracic imaging finding,active
Abnormal Pulmonary Type II Cell Morphology,symptom,abnormal pulmonary type ii cell morphology,active
Abnormal Pulmonary Valve Cusp Morphology,symptom,abnormal pulmonary valve cusp morphology,active
Abnormal Pulmonary Valve Morphology,symptom,abnormal pulmonary valve morphology,active
Abnormal Pulmonary Valve Physiology,symptom,abnormal pulmonary valve physiology,active
Abnormal Pulmonary Vein Morphology,symptom,abnormal pulmonary vein morphology,active
Abnormal Pulmonary Vein Physiology,symptom,abnormal pulmonary vein physiology,active
Abnormal Pulse,symptom,abnormal pulse,active
Abnormal Pulse Pressure,symptom,abnormal pulse pressure,active
Abnormal Pupil Morphology,symptom,abnormal pupil morphology,active
Abnormal Pupil Shape,symptom,abnormal pupil shape,active
Abnormal Pupillary Function,symptom,abnormal pupillary function,active
Abnormal Pupillary Light Reflex,symptom,abnormal pupillary light reflex,active
Abnormal Pupillary Morphology,symptom,abnormal pupillary morphology,active
Abnormal Putamen Morphology,symptom,abnormal putamen morphology,active
Abnormal Pyramidal Sign,symptom,abnormal pyramidal sign,active
Abnormal Pyramidal Tract Morphology,symptom,abnormal pyramidal tract morphology,active
Abnormal Pyruvate-family Amino Acid Levels in Cerebrospinal Fluid,symptom,abnormal pyruvate-family amino acid levels in cerebrospinal fluid,active
Abnormal Q Wave,symptom,abnormal q wave,active
Abnormal QRS Axis,symptom,abnormal qrs axis,active
Abnormal QRS Complex,symptom,abnormal qrs complex,active
Abnormal QRS Voltage,symptom,abnormal qrs voltage,active
Abnormal QT Interval,symptom,abnormal qt interval,active
Abnormal Quality of Facial Expression,symptom,abnormal quality of facial expression,active
Abnormal R Wave,symptom,abnormal r wave,active
Abnormal Radial Artery Morphology,symptom,abnormal radial artery morphology,active
Abnormal Radial Epiphysis Morphology,symptom,abnormal radial epiphysis morphology,active
Abnormal Radial Metaphysis Morphology,symptom,abnormal radial metaphysis morphology,active
Abnormal Radial Ray Morphology,symptom,abnormal radial ray morphology,active
Abnormal Radioactive Iodine Uptake Test Result,symptom,abnormal radioactive iodine uptake test result,active
Abnormal Radiologic Findings On Dx Imaging of Left Kidney,symptom,abnormal radiologic findings on dx imaging of left kidney,active
Abnormal Radiologic Findings On Dx Imaging of Left Testicle,symptom,abnormal radiologic findings on dx imaging of left testicle,active
Abnormal Radiologic Findings On Dx Imaging of R Kidney,symptom,abnormal radiologic findings on dx imaging of r kidney,active
Abnormal Radiologic Findings On Dx Imaging of Right Testicle,symptom,abnormal radiologic findings on dx imaging of right testicle,active
Abnormal Radiologic Findings On Dx Imaging of Unsp Kidney,symptom,abnormal radiologic findings on dx imaging of unsp kidney,active
Abnormal Radiologic Findings On Dx Imaging of Unsp Testicle,symptom,abnormal radiologic findings on dx imaging of unsp testicle,active
"Abnormal Radlgc Findings On Dx Imaging of Testicles, Bi",symptom,"abnormal radlgc findings on dx imaging of testicles, bi",active
Abnormal Rapid Eye Movement Sleep,symptom,abnormal rapid eye movement sleep,active
Abnormal RBC Count,symptom,abnormal rbc count,active
Abnormal Rectum Morphology,symptom,abnormal rectum morphology,active
Abnormal Rectus Muscle Physiology,symptom,abnormal rectus muscle physiology,active
Abnormal Red Blood Cell Count,symptom,abnormal red blood cell count,active
Abnormal Red Nucleus Morphology,symptom,abnormal red nucleus morphology,active
Abnormal Reflex,symptom,abnormal reflex,active
Abnormal Regional Left Ventricular Contraction,symptom,abnormal regional left ventricular contraction,active
Abnormal Regulatory T Cell Proportion,symptom,abnormal regulatory t cell proportion,active
Abnormal Relationship,symptom,abnormal relationship,active
Abnormal REM Sleep,symptom,abnormal rem sleep,active
Abnormal Renal Arteriole Endothelium Morphology,symptom,abnormal renal arteriole endothelium morphology,active
Abnormal Renal Arteriole Intima/media Morphology,symptom,abnormal renal arteriole intima/media morphology,active
Abnormal Renal Arteriole Lumen Morphology,symptom,abnormal renal arteriole lumen morphology,active
Abnormal Renal Arteriole Morphology,symptom,abnormal renal arteriole morphology,active
Abnormal Renal Artery Morphology,symptom,abnormal renal artery morphology,active
Abnormal Renal Calyx Morphology,symptom,abnormal renal calyx morphology,active
Abnormal Renal Collecting System Morphology,symptom,abnormal renal collecting system morphology,active
Abnormal Renal Corpuscle Morphology,symptom,abnormal renal corpuscle morphology,active
Abnormal Renal Cortex Morphology,symptom,abnormal renal cortex morphology,active
Abnormal Renal Corticomedullary Differentiation,symptom,abnormal renal corticomedullary differentiation,active
Abnormal Renal Echogenicity,symptom,abnormal renal echogenicity,active
Abnormal Renal Function,symptom,abnormal renal function,active
Abnormal Renal Glomerular Capsule Morphology,symptom,abnormal renal glomerular capsule morphology,active
Abnormal Renal Glomerulus Morphology,symptom,abnormal renal glomerulus morphology,active
Abnormal Renal Interstitial Morphology,symptom,abnormal renal interstitial morphology,active
Abnormal Renal Medulla Morphology,symptom,abnormal renal medulla morphology,active
Abnormal Renal Morphology,symptom,abnormal renal morphology,active
Abnormal Renal Pelvis Morphology,symptom,abnormal renal pelvis morphology,active
Abnormal Renal Physiology,symptom,abnormal renal physiology,active
Abnormal Renal Resorption,symptom,abnormal renal resorption,active
Abnormal Renal Tubular Epithelial Morphology,symptom,abnormal renal tubular epithelial morphology,active
Abnormal Renal Tubular Lumen Morphology,symptom,abnormal renal tubular lumen morphology,active
Abnormal Renal Tubular Luminal Morphology,symptom,abnormal renal tubular luminal morphology,active
Abnormal Renal Tubular Resorption,symptom,abnormal renal tubular resorption,active
Abnormal Renal Tubule Morphology,symptom,abnormal renal tubule morphology,active
Abnormal Renal Vascular Morphology,symptom,abnormal renal vascular morphology,active
Abnormal Repetitive Mannerism,symptom,abnormal repetitive mannerism,active
Abnormal Reproductive System Morphology,symptom,abnormal reproductive system morphology,active
Abnormal Residual Volume,symptom,abnormal residual volume,active
Abnormal Respiration,symptom,abnormal respiration,active
Abnormal Respiratory Epithelium Morphology,symptom,abnormal respiratory epithelium morphology,active
Abnormal Respiratory Motile Cilium Morphology,symptom,abnormal respiratory motile cilium morphology,active
Abnormal Respiratory Motile Cilium Physiology,symptom,abnormal respiratory motile cilium physiology,active
Abnormal Respiratory Patterns,symptom,abnormal respiratory patterns,active
Abnormal Respiratory System Morphology,symptom,abnormal respiratory system morphology,active
Abnormal Respiratory System Physiology,symptom,abnormal respiratory system physiology,active
Abnormal Response to ACTH Stimulation Test,symptom,abnormal response to acth stimulation test,active
Abnormal Response to Adrenocorticotropic-hormone Stimulation Test,symptom,abnormal response to adrenocorticotropic-hormone stimulation test,active
Abnormal Response to Corticotropin Releasing Hormone Stimulation Test,symptom,abnormal response to corticotropin releasing hormone stimulation test,active
Abnormal Response to Corticotropin Stimulation Test,symptom,abnormal response to corticotropin stimulation test,active
Abnormal Response to CRH Stimulation Test,symptom,abnormal response to crh stimulation test,active
Abnormal Response to Endocrine Stimulation Test,symptom,abnormal response to endocrine stimulation test,active
Abnormal Response to Glucagon Stimulation Test,symptom,abnormal response to glucagon stimulation test,active
Abnormal Response to GnRH Stimulation Test,symptom,abnormal response to gnrh stimulation test,active
Abnormal Response to Gonadotropin-releasing Hormone Stimulation Test,symptom,abnormal response to gonadotropin-releasing hormone stimulation test,active
Abnormal Response to HCG Stimulation Test,symptom,abnormal response to hcg stimulation test,active
Abnormal Response to Human Chorionic Gonadotrophin Stimulation Test,symptom,abnormal response to human chorionic gonadotrophin stimulation test,active
Abnormal Response to Insulin Tolerance Test,symptom,abnormal response to insulin tolerance test,active
"Abnormal Response to Nerve Stimulation, Unspecified",symptom,"abnormal response to nerve stimulation, unspecified",active
Abnormal Response to Short Acting Pulmonary Vasodilator,symptom,abnormal response to short acting pulmonary vasodilator,active
Abnormal Response to Social Norms,symptom,abnormal response to social norms,active
Abnormal Resting Energy Expenditure From Metabolic Cart Test,symptom,abnormal resting energy expenditure from metabolic cart test,active
"Abnormal Result of Cardiovascular Function Study, Unsp",symptom,"abnormal result of cardiovascular function study, unsp",active
Abnormal Result of Other Cardiovascular Function Study,symptom,abnormal result of other cardiovascular function study,active
Abnormal Results of Function Studies of Cnsl,symptom,abnormal results of function studies of cnsl,active
Abnormal Results of Function Studies of Organs and Systems,symptom,abnormal results of function studies of organs and systems,active
Abnormal Results of Function Studies of Prph Nervous Sys,symptom,abnormal results of function studies of prph nervous sys,active
Abnormal Results of Kidney Function Studies,symptom,abnormal results of kidney function studies,active
Abnormal Results of Liver Function Studies,symptom,abnormal results of liver function studies,active
Abnormal Results of Other Endocrine Function Studies,symptom,abnormal results of other endocrine function studies,active
Abnormal Results of Other Function Studies of Eye,symptom,abnormal results of other function studies of eye,active
Abnormal Results of Pulmonary Function Studies,symptom,abnormal results of pulmonary function studies,active
Abnormal Results of Thyroid Function Studies,symptom,abnormal results of thyroid function studies,active
Abnormal Rete Ridge Morphology,symptom,abnormal rete ridge morphology,active
Abnormal Reticulocyte Morphology,symptom,abnormal reticulocyte morphology,active
Abnormal Retina,symptom,abnormal retina,active
Abnormal Retinal Arterial/arteriolar Morphology,symptom,abnormal retinal arterial/arteriolar morphology,active
Abnormal Retinal Arteriole Morphology,symptom,abnormal retinal arteriole morphology,active
Abnormal Retinal Artery Morphology,symptom,abnormal retinal artery morphology,active
Abnormal Retinal Morphology,symptom,abnormal retinal morphology,active
Abnormal Retinal Morphology On Macular OCT,symptom,abnormal retinal morphology on macular oct,active
Abnormal Retinal Nerve Fiber Layer Morphology,symptom,abnormal retinal nerve fiber layer morphology,active
Abnormal Retinal Nerve Fibre Layer Morphology,symptom,abnormal retinal nerve fibre layer morphology,active
Abnormal Retinal Pigmentation,symptom,abnormal retinal pigmentation,active
Abnormal Retinal Vascular Morphology,symptom,abnormal retinal vascular morphology,active
Abnormal Retinal Vein Morphology,symptom,abnormal retinal vein morphology,active
Abnormal Rhythmic Movements of Ankle,symptom,abnormal rhythmic movements of ankle,active
Abnormal Rib Cage Morphology,symptom,abnormal rib cage morphology,active
Abnormal Rib Morphology,symptom,abnormal rib morphology,active
Abnormal Rib Ossification,symptom,abnormal rib ossification,active
Abnormal Right Atrium Morphology,symptom,abnormal right atrium morphology,active
Abnormal Right Hemidiaphragm Morphology,symptom,abnormal right hemidiaphragm morphology,active
Abnormal Right Ventricle Morphology,symptom,abnormal right ventricle morphology,active
Abnormal Right Ventricular Function,symptom,abnormal right ventricular function,active
Abnormal Rituals,symptom,abnormal rituals,active
Abnormal Rod and Cone Electroretinogram,symptom,abnormal rod and cone electroretinogram,active
Abnormal Rotation of the Kidneys,symptom,abnormal rotation of the kidneys,active
Abnormal RTE CD4+ T Cell Proportion,symptom,abnormal rte cd4+ t cell proportion,active
Abnormal RV/TLC Ratio,symptom,abnormal rv/tlc ratio,active
Abnormal S Wave,symptom,abnormal s wave,active
Abnormal Saccadic Eye Movements,symptom,abnormal saccadic eye movements,active
Abnormal Saccule Morphology,symptom,abnormal saccule morphology,active
Abnormal Sacral Segmentation,symptom,abnormal sacral segmentation,active
Abnormal Sacroiliac Joint Morphology,symptom,abnormal sacroiliac joint morphology,active
Abnormal Sacrum Morphology,symptom,abnormal sacrum morphology,active
Abnormal Sadness,symptom,abnormal sadness,active
Abnormal Salivary Cortisol Level,symptom,abnormal salivary cortisol level,active
Abnormal Salivary Gland Morphology,symptom,abnormal salivary gland morphology,active
Abnormal Salivary Metabolite Concentration,symptom,abnormal salivary metabolite concentration,active
Abnormal Sarcomere Morphology,symptom,abnormal sarcomere morphology,active
Abnormal Scalp Morphology,symptom,abnormal scalp morphology,active
Abnormal Scaphoid Morphology,symptom,abnormal scaphoid morphology,active
Abnormal Scapula Morphology,symptom,abnormal scapula morphology,active
Abnormal Schwann Cell Morphology,symptom,abnormal schwann cell morphology,active
Abnormal Sclera Morphology,symptom,abnormal sclera morphology,active
Abnormal Scleral Thickness,symptom,abnormal scleral thickness,active
Abnormal Scrotal Rugation,symptom,abnormal scrotal rugation,active
Abnormal Scrotum Morphology,symptom,abnormal scrotum morphology,active
Abnormal Scrotum Position,symptom,abnormal scrotum position,active
Abnormal Sebaceous Gland Morphology,symptom,abnormal sebaceous gland morphology,active
Abnormal Second Heart Sound,symptom,abnormal second heart sound,active
Abnormal Second Toe Morphology,symptom,abnormal second toe morphology,active
Abnormal Sella Turcica Morphology,symptom,abnormal sella turcica morphology,active
Abnormal Semantics,symptom,abnormal semantics,active
Abnormal Semicircular Canal Morphology,symptom,abnormal semicircular canal morphology,active
Abnormal Seminal Vesicle Morphology,symptom,abnormal seminal vesicle morphology,active
Abnormal Seminiferous Tubule Morphology,symptom,abnormal seminiferous tubule morphology,active
Abnormal Sense of Smell,symptom,abnormal sense of smell,active
Abnormal Sensory Nerve Conduction Velocity,symptom,abnormal sensory nerve conduction velocity,active
Abnormal Septum Pellucidum Morphology,symptom,abnormal septum pellucidum morphology,active
Abnormal Serine Levels in Cerebrospinal Fluid,symptom,abnormal serine levels in cerebrospinal fluid,active
Abnormal Serine-family Amino Acid Levels in Cerebrospinal Fluid,symptom,abnormal serine-family amino acid levels in cerebrospinal fluid,active
Abnormal Serum Androstenolone Level,symptom,abnormal serum androstenolone level,active
Abnormal Serum Anion Gap,symptom,abnormal serum anion gap,active
Abnormal Serum Bicarbonate Concentration,symptom,abnormal serum bicarbonate concentration,active
Abnormal Serum Bile Acid Concentration,symptom,abnormal serum bile acid concentration,active
Abnormal Serum Cobalamin Level,symptom,abnormal serum cobalamin level,active
Abnormal Serum Dehydroepiandrosterone Level,symptom,abnormal serum dehydroepiandrosterone level,active
Abnormal Serum DHEA,symptom,abnormal serum dhea,active
"Abnormal Serum Enzyme Level, Unspecified",symptom,"abnormal serum enzyme level, unspecified",active
Abnormal Serum Estradiol,symptom,abnormal serum estradiol,active
Abnormal Serum Estriol,symptom,abnormal serum estriol,active
Abnormal Serum Estrone,symptom,abnormal serum estrone,active
Abnormal Serum Ferritin,symptom,abnormal serum ferritin,active
Abnormal Serum Folate,symptom,abnormal serum folate,active
Abnormal Serum HCO3 Concentration,symptom,abnormal serum hco3 concentration,active
Abnormal Serum IL Level,symptom,abnormal serum il level,active
Abnormal Serum Immunoglobulin Concentration,symptom,abnormal serum immunoglobulin concentration,active
Abnormal Serum Immunoglobulin Levels,symptom,abnormal serum immunoglobulin levels,active
Abnormal Serum Insulin-like Growth Factor 1 Level,symptom,abnormal serum insulin-like growth factor 1 level,active
Abnormal Serum Interferon Level,symptom,abnormal serum interferon level,active
Abnormal Serum Interferon-gamma Level,symptom,abnormal serum interferon-gamma level,active
Abnormal Serum Interleukin Level,symptom,abnormal serum interleukin level,active
Abnormal Serum Iron Concentration,symptom,abnormal serum iron concentration,active
Abnormal Serum Level of Immunoglobulin,symptom,abnormal serum level of immunoglobulin,active
Abnormal Serum Methylfolate Level,symptom,abnormal serum methylfolate level,active
Abnormal Serum Osmolality,symptom,abnormal serum osmolality,active
Abnormal Serum Selenium Concentration,symptom,abnormal serum selenium concentration,active
Abnormal Serum Testosterone Level,symptom,abnormal serum testosterone level,active
Abnormal Seventh Cranial Physiology,symptom,abnormal seventh cranial physiology,active
Abnormal Sex Determination,symptom,abnormal sex determination,active
Abnormal Sex Hormone-binding Globulin Level,symptom,abnormal sex hormone-binding globulin level,active
Abnormal Sexual Behavior,symptom,abnormal sexual behavior,active
Abnormal Shape of a Reproductive Cell,symptom,abnormal shape of a reproductive cell,active
Abnormal Shape of Ankle Bones,symptom,abnormal shape of ankle bones,active
Abnormal Shape of Bones of the Lower Limbs,symptom,abnormal shape of bones of the lower limbs,active
Abnormal Shape of Bones of the Upper Limbs,symptom,abnormal shape of bones of the upper limbs,active
Abnormal Shape of Brain,symptom,abnormal shape of brain,active
Abnormal Shape of Brainstem,symptom,abnormal shape of brainstem,active
Abnormal Shape of Cartilage,symptom,abnormal shape of cartilage,active
Abnormal Shape of End Part of Bone,symptom,abnormal shape of end part of bone,active
Abnormal Shape of End Part of Limb Bones,symptom,abnormal shape of end part of limb bones,active
Abnormal Shape of End Part of Lower Limb End Bone,symptom,abnormal shape of end part of lower limb end bone,active
Abnormal Shape of End Part of Upper Limb Long Bones,symptom,abnormal shape of end part of upper limb long bones,active
Abnormal Shape of Forebrain,symptom,abnormal shape of forebrain,active
Abnormal Shape of Gallbladder,symptom,abnormal shape of gallbladder,active
Abnormal Shape of Hand,symptom,abnormal shape of hand,active
Abnormal Shape of Hindbrain,symptom,abnormal shape of hindbrain,active
Abnormal Shape of Hypophysial Fossa,symptom,abnormal shape of hypophysial fossa,active
Abnormal Shape of Hypothalamus,symptom,abnormal shape of hypothalamus,active
Abnormal Shape of Joints,symptom,abnormal shape of joints,active
Abnormal Shape of Limb Bone,symptom,abnormal shape of limb bone,active
Abnormal Shape of Long Bone,symptom,abnormal shape of long bone,active
Abnormal Shape of Long Bones of Hand,symptom,abnormal shape of long bones of hand,active
Abnormal Shape of Metacarpal Bones,symptom,abnormal shape of metacarpal bones,active
Abnormal Shape of Midbrain,symptom,abnormal shape of midbrain,active
Abnormal Shape of Molar Tooth,symptom,abnormal shape of molar tooth,active
Abnormal Shape of Motor Neuron,symptom,abnormal shape of motor neuron,active
Abnormal Shape of Nervous System,symptom,abnormal shape of nervous system,active
Abnormal Shape of Pelvic Girdle Bone,symptom,abnormal shape of pelvic girdle bone,active
Abnormal Shape of Pelvis Bone,symptom,abnormal shape of pelvis bone,active
Abnormal Shape of Pituitary Fossa,symptom,abnormal shape of pituitary fossa,active
Abnormal Shape of Platelets,symptom,abnormal shape of platelets,active
Abnormal Shape of Posterior Cranium,symptom,abnormal shape of posterior cranium,active
Abnormal Shape of Posterior Skull,symptom,abnormal shape of posterior skull,active
Abnormal Shape of Sella Turcica,symptom,abnormal shape of sella turcica,active
Abnormal Shape of Shaft of Long Bone,symptom,abnormal shape of shaft of long bone,active
Abnormal Shape of Small Intestinal Villus,symptom,abnormal shape of small intestinal villus,active
Abnormal Shape of Sperm,symptom,abnormal shape of sperm,active
Abnormal Shape of Spongy Bone,symptom,abnormal shape of spongy bone,active
Abnormal Shape of Tendon,symptom,abnormal shape of tendon,active
Abnormal Shape of Thalamus,symptom,abnormal shape of thalamus,active
Abnormal Shape of the Back of the Skull,symptom,abnormal shape of the back of the skull,active
Abnormal Shape of the Digestive System,symptom,abnormal shape of the digestive system,active
Abnormal Shape of the End Part of the Vertebra Bone,symptom,abnormal shape of the end part of the vertebra bone,active
Abnormal Shape of the Forehead,symptom,abnormal shape of the forehead,active
Abnormal Shape of the Frontal Region,symptom,abnormal shape of the frontal region,active
Abnormal Shape of the Occiput,symptom,abnormal shape of the occiput,active
Abnormal Shape of the Opening Between the Eyelids,symptom,abnormal shape of the opening between the eyelids,active
Abnormal Shape of the Palpebral Fissure,symptom,abnormal shape of the palpebral fissure,active
Abnormal Shape of the Radius,symptom,abnormal shape of the radius,active
Abnormal Shape of Thyroid Gland,symptom,abnormal shape of thyroid gland,active
Abnormal Shape of Upper Motor Neuron,symptom,abnormal shape of upper motor neuron,active
