local_term,english_translation,category,medical_keyword,severity,body_system
kakatol lawas po,itching,symptom,pruritus,mild,dermatological
sige ko kinatol malala gid man,itching,symptom,pruritus,mild,dermatological
katol,itching,symptom,pruritus,mild,dermatological
kakatol lawas na gid,itching,symptom,pruritus,mild,dermatological
"dok, ga katol kagapon gid ako",itching,symptom,pruritus,mild,dermatological
"dok, kakatol sing malala na gid",itching,symptom,pruritus,mild,dermatological
may katol,itching,symptom,pruritus,mild,dermatological
feel ko nga ga katol sobra gid ako,itching,symptom,pruritus,mild,dermatological
naga katol,itching,symptom,pruritus,mild,dermatological
complain ko kay kakatul karon man,itching,symptom,pruritus,mild,dermatological
"doc, kakatul pirmi gid",itching,symptom,pruritus,mild,dermatological
complain ko kay ga katol dako gid ko,itching,symptom,pruritus,mild,dermatological
basin ga katol grabeh bah,itching,symptom,pruritus,mild,dermatological
kakatul na gid,itching,symptom,pruritus,mild,dermatological
kumakati since kagapon bah,itching,symptom,pruritus,mild,dermatological
kakatol gid ko,itching,symptom,pruritus,mild,dermatological
Kakatul lawas ko,itching,symptom,pruritus,mild,dermatological
may ara ko nga kakatul karon ko,itching,symptom,pruritus,mild,dermatological
sige ko kumakati pirmi ko,itching,symptom,pruritus,mild,dermatological
sige ko katol sobra gid,itching,symptom,pruritus,mild,dermatological
katol / pruritus,itching,symptom,pruritus,mild,dermatological
kumakati talaga,itching,symptom,pruritus,mild,dermatological
pareho kinatol halin sang gabii gid ko,itching,symptom,pruritus,mild,dermatological
feel ko nga katol sobra gid ko,itching,symptom,pruritus,mild,dermatological
ga katol gid,itching,symptom,pruritus,mild,dermatological
amuni kakatul karon man,itching,symptom,pruritus,mild,dermatological
daw kakatol grabe ko,itching,symptom,pruritus,mild,dermatological
kinatulan subong,itching,symptom,pruritus,mild,dermatological
nagkakatul lawas ko,itching,symptom,pruritus,mild,dermatological
pareho kumakati subong man,itching,symptom,pruritus,mild,dermatological
complain ko kay kakatol sige gid ako,itching,symptom,pruritus,mild,dermatological
kakatul grabeh subong,itching,symptom,pruritus,mild,dermatological
daw kinatol sobra,itching,symptom,pruritus,mild,dermatological
feel ko may pruritus,itching,symptom,pruritus,mild,dermatological
kakatul lawas ko man,itching,symptom,pruritus,mild,dermatological
kakatol,itching,symptom,pruritus,mild,dermatological
kinatol na gid,itching,symptom,pruritus,mild,dermatological
amuni kakatul sobra ako,itching,symptom,pruritus,mild,dermatological
basin kakatul grabeh ko,itching,symptom,pruritus,mild,dermatological
amuni ga katol sing malala gid ako,itching,symptom,pruritus,mild,dermatological
complain ko kay kumakati gid man,itching,symptom,pruritus,mild,dermatological
"doktor, kinatol sige man",itching,symptom,pruritus,mild,dermatological
complain ko kay kinatol grabe na gid,itching,symptom,pruritus,mild,dermatological
complain ko kay kakatul dako gid ako,itching,symptom,pruritus,mild,dermatological
katol subong,itching,symptom,pruritus,mild,dermatological
kakatul lawas ko talaga,itching,symptom,pruritus,mild,dermatological
amuni kumakati dako gid ako,itching,symptom,pruritus,mild,dermatological
kakatol lawas bah,itching,symptom,pruritus,mild,dermatological
ginga katol,itching,symptom,pruritus,mild,dermatological
"doc, kakatul gid gid",itching,symptom,pruritus,mild,dermatological
kinatol talaga,itching,symptom,pruritus,mild,dermatological
may ga katol,itching,symptom,pruritus,mild,dermatological
sige ko katol halin sang gabii na gid,itching,symptom,pruritus,mild,dermatological
kakatul malala gid subong,itching,symptom,pruritus,mild,dermatological
complain ko kay katol subong na gid,itching,symptom,pruritus,mild,dermatological
may kakatol,itching,symptom,pruritus,mild,dermatological
feel ko nga ga katol kagapon man,itching,symptom,pruritus,mild,dermatological
kakatol lawas gid,itching,symptom,pruritus,mild,dermatological
complain ko kay kakatol pirmi,itching,symptom,pruritus,mild,dermatological
kumakati po,itching,symptom,pruritus,mild,dermatological
kakatul lawas ko po,itching,symptom,pruritus,mild,dermatological
daw kakatol sobra gid ako,itching,symptom,pruritus,mild,dermatological
daw kumakati daw malala man,itching,symptom,pruritus,mild,dermatological
ga katol man,itching,symptom,pruritus,mild,dermatological
kakatol / pruritus,itching,symptom,pruritus,mild,dermatological
"doktor, kinatol subong gid ako",itching,symptom,pruritus,mild,dermatological
katol man,itching,symptom,pruritus,mild,dermatological
kinatol halin sang aga ako,itching,symptom,pruritus,mild,dermatological
kumakati,itching,symptom,pruritus,mild,dermatological
basin kakatul sobra gid,itching,symptom,pruritus,mild,dermatological
kumakati ko,itching,symptom,pruritus,mild,dermatological
kinatulan gid ko,itching,symptom,pruritus,mild,dermatological
sige ko ga katol halin sang aga ako,itching,symptom,pruritus,mild,dermatological
kakatul / pruritus,itching,symptom,pruritus,mild,dermatological
ga katol,itching,symptom,pruritus,mild,dermatological
"dok, ga katol gid na gid",itching,symptom,pruritus,mild,dermatological
pareho kakatol since kagapon ako,itching,symptom,pruritus,mild,dermatological
feel ko nga ga katol karon ko,itching,symptom,pruritus,mild,dermatological
kakatul gid ko,itching,symptom,pruritus,mild,dermatological
kakatol ko,itching,symptom,pruritus,mild,dermatological
complain ko kay katol sige ako,itching,symptom,pruritus,mild,dermatological
amuni katol grabe man,itching,symptom,pruritus,mild,dermatological
kakatul talaga,itching,symptom,pruritus,mild,dermatological
may kumakati,itching,symptom,pruritus,mild,dermatological
may kakatol lawas,itching,symptom,pruritus,mild,dermatological
kakatul lawas ko gid,itching,symptom,pruritus,mild,dermatological
kakatul po,itching,symptom,pruritus,mild,dermatological
amuni ga katol grabe subong,itching,symptom,pruritus,mild,dermatological
may ara ko nga ga katol halin sang gabii ko,itching,symptom,pruritus,mild,dermatological
ga katol ko,itching,symptom,pruritus,mild,dermatological
"dok, kinatol kagapon gid",itching,symptom,pruritus,mild,dermatological
daw kinatol dako gid gid ako,itching,symptom,pruritus,mild,dermatological
ga katol / pruritus,itching,symptom,pruritus,mild,dermatological
may ara ko nga kakatul gid,itching,symptom,pruritus,mild,dermatological
kinatol grabeh na gid,itching,symptom,pruritus,mild,dermatological
kinatulan na gid,itching,symptom,pruritus,mild,dermatological
kumakati bah,itching,symptom,pruritus,mild,dermatological
kinatol gid ko,itching,symptom,pruritus,mild,dermatological
daw kakatul grabeh subong,itching,symptom,pruritus,mild,dermatological
pareho kakatul sing malala,itching,symptom,pruritus,mild,dermatological
kakatul,itching,symptom,pruritus,mild,dermatological
daw katol karon ako,itching,symptom,pruritus,mild,dermatological
pareho kakatul karon gid,itching,symptom,pruritus,mild,dermatological
daw kakatol gid gid,itching,symptom,pruritus,mild,dermatological
nagGa katol gid ko,itching,symptom,pruritus,mild,dermatological
kumakati gid,itching,symptom,pruritus,mild,dermatological
"dok, ga katol subong bah",itching,symptom,pruritus,mild,dermatological
kakatol gid,itching,symptom,pruritus,mild,dermatological
"dok, kakatol sobra ako",itching,symptom,pruritus,mild,dermatological
kinatulan bah,itching,symptom,pruritus,mild,dermatological
pareho kakatol dako gid subong,itching,symptom,pruritus,mild,dermatological
kakatol lawas ako,itching,symptom,pruritus,mild,dermatological
ga katol ako,itching,symptom,pruritus,mild,dermatological
katol ako,itching,symptom,pruritus,mild,dermatological
basin ga katol karon subong,itching,symptom,pruritus,mild,dermatological
ga katol po,itching,symptom,pruritus,mild,dermatological
"dok, kinatol sobra ko",itching,symptom,pruritus,mild,dermatological
"dok, katol grabe gid",itching,symptom,pruritus,mild,dermatological
amuni katol grabe gid,itching,symptom,pruritus,mild,dermatological
"doc, kinatol halin sang aga gid ko",itching,symptom,pruritus,mild,dermatological
kakatul man,itching,symptom,pruritus,mild,dermatological
kakatul lawas ko subong,itching,symptom,pruritus,mild,dermatological
feel ko nga kakatol halin sang gabii,itching,symptom,pruritus,mild,dermatological
ga katol na gid,itching,symptom,pruritus,mild,dermatological
kakatul gid,itching,symptom,pruritus,mild,dermatological
"doc, katol subong",itching,symptom,pruritus,mild,dermatological
"doc, katol subong ako",itching,symptom,pruritus,mild,dermatological
pareho katol grabeh man,itching,symptom,pruritus,mild,dermatological
kakatol lawas talaga,itching,symptom,pruritus,mild,dermatological
kakatol lawas,itching,symptom,pruritus,mild,dermatological
amuni kumakati subong gid ko,itching,symptom,pruritus,mild,dermatological
may ara ko nga kakatul halin sang aga,itching,symptom,pruritus,mild,dermatological
feel ko nga kinatol pirmi,itching,symptom,pruritus,mild,dermatological
katol dako gid ko,itching,symptom,pruritus,mild,dermatological
sige ko katol grabe ko,itching,symptom,pruritus,mild,dermatological
katol na gid,itching,symptom,pruritus,mild,dermatological
pareho kakatol daw malala na gid,itching,symptom,pruritus,mild,dermatological
kinatol man,itching,symptom,pruritus,mild,dermatological
sige ko katol karon gid,itching,symptom,pruritus,mild,dermatological
katol gid ko,itching,symptom,pruritus,mild,dermatological
kinatol gid,itching,symptom,pruritus,mild,dermatological
"doktor, katol karon subong",itching,symptom,pruritus,mild,dermatological
"doc, kakatul karon na gid",itching,symptom,pruritus,mild,dermatological
amuni kumakati grabe ako,itching,symptom,pruritus,mild,dermatological
kinatol ko,itching,symptom,pruritus,mild,dermatological
feel ko nga ga katol subong gid ako,itching,symptom,pruritus,mild,dermatological
may kinatol,itching,symptom,pruritus,mild,dermatological
kakatul lawas ko ako,itching,symptom,pruritus,mild,dermatological
kinatulan gid,itching,symptom,pruritus,mild,dermatological
"doktor, kakatul halin sang gabii man",itching,symptom,pruritus,mild,dermatological
kakatol ako,itching,symptom,pruritus,mild,dermatological
basin ga katol karon na gid,itching,symptom,pruritus,mild,dermatological
butlig subong,rash,symptom,rash,mild,dermatological
"doc, butlig sa panit ko subong",rash,symptom,rash,mild,dermatological
amuni rashes sa panit ko,rash,symptom,rash,mild,dermatological
nagapamula sa panit ko subong,rash,symptom,rash,mild,dermatological
"dok, pamula sa panit ko bah",rash,symptom,rash,mild,dermatological
amuni butlig sa panit ko subong,rash,symptom,rash,mild,dermatological
rashes man,rash,symptom,rash,mild,dermatological
pamula bah,rash,symptom,rash,mild,dermatological
bugas na gid,rash,symptom,rash,mild,dermatological
may May bugas sa panit ko,rash,symptom,rash,mild,dermatological
daw pamula sa panit ko bah,rash,symptom,rash,mild,dermatological
may ara ko nga pamula sa panit ko ako,rash,symptom,rash,mild,dermatological
pareho rashes sa panit ko ko,rash,symptom,rash,mild,dermatological
bugas man,rash,symptom,rash,mild,dermatological
pamula gid,rash,symptom,rash,mild,dermatological
pareho pantal sa panit ko gid ko,rash,symptom,rash,mild,dermatological
"doc, nagapamula sa panit ko ako",rash,symptom,rash,mild,dermatological
bugas subong,rash,symptom,rash,mild,dermatological
nagapamula gid ko,rash,symptom,rash,mild,dermatological
"doc, rashes sa panit ko na gid",rash,symptom,rash,mild,dermatological
sige ko rashes sa panit ko,rash,symptom,rash,mild,dermatological
galis po,rash,symptom,rash,mild,dermatological
"doc, pantal sa panit ko gid",rash,symptom,rash,mild,dermatological
pamula ko,rash,symptom,rash,mild,dermatological
pantal bah,rash,symptom,rash,mild,dermatological
sige ko rashes sa panit ko man,rash,symptom,rash,mild,dermatological
nagapamula na gid,rash,symptom,rash,mild,dermatological
bugas sa panit ko ako,rash,symptom,rash,mild,dermatological
galis gid ko,rash,symptom,rash,mild,dermatological
pamula po,rash,symptom,rash,mild,dermatological
sige ko pantal sa panit ko na gid,rash,symptom,rash,mild,dermatological
pantal talaga,rash,symptom,rash,mild,dermatological
pareho bugas sa panit ko man,rash,symptom,rash,mild,dermatological
rashes talaga,rash,symptom,rash,mild,dermatological
complain ko kay pantal sa panit ko,rash,symptom,rash,mild,dermatological
complain ko kay pamula sa panit ko gid ko,rash,symptom,rash,mild,dermatological
butlig,rash,symptom,rash,mild,dermatological
amuni pamula sa panit ko gid,rash,symptom,rash,mild,dermatological
galis subong,rash,symptom,rash,mild,dermatological
"dok, pamula sa panit ko man",rash,symptom,rash,mild,dermatological
pantal ako,rash,symptom,rash,mild,dermatological
feel ko nga butlig sa panit ko,rash,symptom,rash,mild,dermatological
rashes ko,rash,symptom,rash,mild,dermatological
bugas talaga,rash,symptom,rash,mild,dermatological
nagapamula gid,rash,symptom,rash,mild,dermatological
basin butlig sa panit ko bah,rash,symptom,rash,mild,dermatological
sige ko pantal sa panit ko subong,rash,symptom,rash,mild,dermatological
amuni nagapamula sa panit ko ko,rash,symptom,rash,mild,dermatological
pamula / rash,rash,symptom,rash,mild,dermatological
pamula man,rash,symptom,rash,mild,dermatological
complain ko kay rashes sa panit ko ko,rash,symptom,rash,mild,dermatological
bugas ko,rash,symptom,rash,mild,dermatological
may ara ko nga bugas sa panit ko bah,rash,symptom,rash,mild,dermatological
butlig talaga,rash,symptom,rash,mild,dermatological
amuni butlig sa panit ko ko,rash,symptom,rash,mild,dermatological
pantal gid ko,rash,symptom,rash,mild,dermatological
galis man,rash,symptom,rash,mild,dermatological
basin rashes sa panit ko ako,rash,symptom,rash,mild,dermatological
nagapamula ko,rash,symptom,rash,mild,dermatological
nagMay bugas sa panit ko,rash,symptom,rash,mild,dermatological
galis talaga,rash,symptom,rash,mild,dermatological
butlig / rash,rash,symptom,rash,mild,dermatological
complain ko kay butlig sa panit ko man,rash,symptom,rash,mild,dermatological
butlig sa panit ko bah,rash,symptom,rash,mild,dermatological
rashes subong,rash,symptom,rash,mild,dermatological
butlig sa panit ko,rash,symptom,rash,mild,dermatological
basin pamula sa panit ko gid,rash,symptom,rash,mild,dermatological
pantal na gid,rash,symptom,rash,mild,dermatological
sige ko butlig sa panit ko man,rash,symptom,rash,mild,dermatological
nagapamula,rash,symptom,rash,mild,dermatological
pantal sa panit ko subong,rash,symptom,rash,mild,dermatological
rashes gid,rash,symptom,rash,mild,dermatological
"doktor, pantal sa panit ko na gid",rash,symptom,rash,mild,dermatological
galis na gid,rash,symptom,rash,mild,dermatological
may ara ko nga bugas sa panit ko man,rash,symptom,rash,mild,dermatological
amuni bugas sa panit ko,rash,symptom,rash,mild,dermatological
may pamula,rash,symptom,rash,mild,dermatological
pareho nagapamula sa panit ko ako,rash,symptom,rash,mild,dermatological
pamula sa panit ko ko,rash,symptom,rash,mild,dermatological
sige ko bugas sa panit ko gid,rash,symptom,rash,mild,dermatological
butlig po,rash,symptom,rash,mild,dermatological
galis gid,rash,symptom,rash,mild,dermatological
nagapamula ako,rash,symptom,rash,mild,dermatological
may galis,rash,symptom,rash,mild,dermatological
"doc, bugas sa panit ko ako",rash,symptom,rash,mild,dermatological
pamula sa panit ko bah,rash,symptom,rash,mild,dermatological
ginMay bugas sa panit ko,rash,symptom,rash,mild,dermatological
amuni pamula sa panit ko man,rash,symptom,rash,mild,dermatological
pamula ako,rash,symptom,rash,mild,dermatological
pareho rashes sa panit ko man,rash,symptom,rash,mild,dermatological
nagapamula subong,rash,symptom,rash,mild,dermatological
pamula talaga,rash,symptom,rash,mild,dermatological
butlig ako,rash,symptom,rash,mild,dermatological
rashes po,rash,symptom,rash,mild,dermatological
feel ko nga pantal sa panit ko ko,rash,symptom,rash,mild,dermatological
butlig ko,rash,symptom,rash,mild,dermatological
pantal man,rash,symptom,rash,mild,dermatological
galis ko,rash,symptom,rash,mild,dermatological
pantal,rash,symptom,rash,mild,dermatological
bugas / rash,rash,symptom,rash,mild,dermatological
feel ko nga nagapamula sa panit ko ko,rash,symptom,rash,mild,dermatological
may rashes,rash,symptom,rash,mild,dermatological
rashes ako,rash,symptom,rash,mild,dermatological
rashes bah,rash,symptom,rash,mild,dermatological
may ara ko nga nagapamula sa panit ko ako,rash,symptom,rash,mild,dermatological
bugas bah,rash,symptom,rash,mild,dermatological
may ara ko nga nagapamula sa panit ko subong,rash,symptom,rash,mild,dermatological
basin nagapamula sa panit ko,rash,symptom,rash,mild,dermatological
pantal subong,rash,symptom,rash,mild,dermatological
feel ko nga bugas sa panit ko bah,rash,symptom,rash,mild,dermatological
pareho bugas sa panit ko bah,rash,symptom,rash,mild,dermatological
pareho bugas sa panit ko subong,rash,symptom,rash,mild,dermatological
nagapamula talaga,rash,symptom,rash,mild,dermatological
pantal po,rash,symptom,rash,mild,dermatological
pantal gid,rash,symptom,rash,mild,dermatological
butlig na gid,rash,symptom,rash,mild,dermatological
rashes na gid,rash,symptom,rash,mild,dermatological
pareho pantal sa panit ko ko,rash,symptom,rash,mild,dermatological
galis,rash,symptom,rash,mild,dermatological
May bugas sa panit ko,rash,symptom,rash,mild,dermatological
amuni pantal sa panit ko ako,rash,symptom,rash,mild,dermatological
pareho pamula sa panit ko na gid,rash,symptom,rash,mild,dermatological
bugas po,rash,symptom,rash,mild,dermatological
butlig man,rash,symptom,rash,mild,dermatological
sige ko pantal sa panit ko gid ko,rash,symptom,rash,mild,dermatological
"doc, pamula sa panit ko subong",rash,symptom,rash,mild,dermatological
may butlig,rash,symptom,rash,mild,dermatological
bugas gid ko,rash,symptom,rash,mild,dermatological
feel ko nga rashes sa panit ko na gid,rash,symptom,rash,mild,dermatological
nagapamula po,rash,symptom,rash,mild,dermatological
pamula na gid,rash,symptom,rash,mild,dermatological
may rash ko,rash,symptom,rash,mild,dermatological
feel ko may rash,rash,symptom,rash,mild,dermatological
rashes,rash,symptom,rash,mild,dermatological
bugas,rash,symptom,rash,mild,dermatological
rashes gid ko,rash,symptom,rash,mild,dermatological
pamula,rash,symptom,rash,mild,dermatological
amuni butlig sa panit ko bah,rash,symptom,rash,mild,dermatological
nagapamula bah,rash,symptom,rash,mild,dermatological
rashes sa panit ko na gid,rash,symptom,rash,mild,dermatological
feel ko nga butlig sa panit ko gid,rash,symptom,rash,mild,dermatological
bugas ako,rash,symptom,rash,mild,dermatological
pamula gid ko,rash,symptom,rash,mild,dermatological
basin nagapamula sa panit ko gid ako,rash,symptom,rash,mild,dermatological
butlig gid ko,rash,symptom,rash,mild,dermatological
basin nagapamula sa panit ko bah,rash,symptom,rash,mild,dermatological
daw bugas sa panit ko subong,rash,symptom,rash,mild,dermatological
rashes sa panit ko man,rash,symptom,rash,mild,dermatological
sige ko nagapamula sa panit ko gid ako,rash,symptom,rash,mild,dermatological
bugas sa panit ko man,rash,symptom,rash,mild,dermatological
"doktor, pantal sa panit ko ako",rash,symptom,rash,mild,dermatological
galis ako,rash,symptom,rash,mild,dermatological
pamula subong,rash,symptom,rash,mild,dermatological
bugas gid,rash,symptom,rash,mild,dermatological
nagapamula sa panit ko gid ako,rash,symptom,rash,mild,dermatological
butlig bah,rash,symptom,rash,mild,dermatological
nagapamula man,rash,symptom,rash,mild,dermatological
butlig gid,rash,symptom,rash,mild,dermatological
galis bah,rash,symptom,rash,mild,dermatological
pantal ko,rash,symptom,rash,mild,dermatological
may pantal,rash,symptom,rash,mild,dermatological
pantal / rash,rash,symptom,rash,mild,dermatological
may bugas,rash,symptom,rash,mild,dermatological
ginamaluya talaga,fatigue,symptom,fatigue,mild,general
"doktor, weakness sige",fatigue,symptom,fatigue,mild,general
weakness halin sang aga ako,fatigue,symptom,fatigue,mild,general
ginKapoy gid lawas ko,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko subong,fatigue,symptom,fatigue,mild,general
"dok, maluya kagapon bah",fatigue,symptom,fatigue,mild,general
sige ko ginakapoy since kagapon ko,fatigue,symptom,fatigue,mild,general
amuni weakness halin sang gabii man,fatigue,symptom,fatigue,mild,general
ginamaluya gid,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko gid ko,fatigue,symptom,fatigue,mild,general
kapoy gid ko,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko ko,fatigue,symptom,fatigue,mild,general
ginamaluya po,fatigue,symptom,fatigue,mild,general
"dok, ginakapoy kagapon subong",fatigue,symptom,fatigue,mild,general
maluya,fatigue,symptom,fatigue,mild,general
luya man,fatigue,symptom,fatigue,mild,general
sige ko ginamaluya subong subong,fatigue,symptom,fatigue,mild,general
ginamaluya ako,fatigue,symptom,fatigue,mild,general
sige ko weakness kagapon subong,fatigue,symptom,fatigue,mild,general
luya / fatigue,fatigue,symptom,fatigue,mild,general
amuni kapoy halin sang gabii gid ko,fatigue,symptom,fatigue,mild,general
weakness ko,fatigue,symptom,fatigue,mild,general
luya halin sang aga gid ako,fatigue,symptom,fatigue,mild,general
body weakness ako,fatigue,symptom,fatigue,mild,general
feel ko nga luya since kagapon ako,fatigue,symptom,fatigue,mild,general
ginakapoy bah,fatigue,symptom,fatigue,mild,general
maluya / fatigue,fatigue,symptom,fatigue,mild,general
ginakapoy po,fatigue,symptom,fatigue,mild,general
feel ko nga kapoy halin sang gabii gid ako,fatigue,symptom,fatigue,mild,general
"doktor, luya kagapon bah",fatigue,symptom,fatigue,mild,general
body weakness bah,fatigue,symptom,fatigue,mild,general
feel ko nga ginamaluya halin sang gabii na gid,fatigue,symptom,fatigue,mild,general
daw kapoy halin sang aga ko,fatigue,symptom,fatigue,mild,general
luya,fatigue,symptom,fatigue,mild,general
"dok, maluya halin sang gabii",fatigue,symptom,fatigue,mild,general
basin maluya subong bah,fatigue,symptom,fatigue,mild,general
"doc, luya pirmi man",fatigue,symptom,fatigue,mild,general
weakness gid ko,fatigue,symptom,fatigue,mild,general
may kapoy,fatigue,symptom,fatigue,mild,general
luya bah,fatigue,symptom,fatigue,mild,general
ginamaluya pirmi na gid,fatigue,symptom,fatigue,mild,general
ginakapoy,fatigue,symptom,fatigue,mild,general
weakness gid,fatigue,symptom,fatigue,mild,general
complain ko kay maluya pirmi bah,fatigue,symptom,fatigue,mild,general
"doc, maluya since kagapon",fatigue,symptom,fatigue,mild,general
sige ko kapoy sige gid ako,fatigue,symptom,fatigue,mild,general
ginakapoy ko,fatigue,symptom,fatigue,mild,general
maluya gid,fatigue,symptom,fatigue,mild,general
feel ko nga weakness pirmi bah,fatigue,symptom,fatigue,mild,general
Kapoy gid lawas ko,fatigue,symptom,fatigue,mild,general
"doktor, luya subong gid ako",fatigue,symptom,fatigue,mild,general
pareho ginamaluya kagapon gid,fatigue,symptom,fatigue,mild,general
feel ko nga luya karon gid ko,fatigue,symptom,fatigue,mild,general
daw ginakapoy sige man,fatigue,symptom,fatigue,mild,general
maluya ko,fatigue,symptom,fatigue,mild,general
maluya ako,fatigue,symptom,fatigue,mild,general
ginamaluya gid ko,fatigue,symptom,fatigue,mild,general
amuni weakness subong na gid,fatigue,symptom,fatigue,mild,general
pareho kapoy kagapon,fatigue,symptom,fatigue,mild,general
ginakapoy ako,fatigue,symptom,fatigue,mild,general
weakness man,fatigue,symptom,fatigue,mild,general
kapoy,fatigue,symptom,fatigue,mild,general
kapoy subong,fatigue,symptom,fatigue,mild,general
body weakness na gid,fatigue,symptom,fatigue,mild,general
luya talaga,fatigue,symptom,fatigue,mild,general
weakness na gid,fatigue,symptom,fatigue,mild,general
weakness talaga,fatigue,symptom,fatigue,mild,general
pareho ginakapoy subong subong,fatigue,symptom,fatigue,mild,general
sige ko kapoy sige gid ko,fatigue,symptom,fatigue,mild,general
"doktor, ginamaluya halin sang gabii ko",fatigue,symptom,fatigue,mild,general
amuni maluya kagapon gid,fatigue,symptom,fatigue,mild,general
may body weakness,fatigue,symptom,fatigue,mild,general
feel ko nga maluya karon subong,fatigue,symptom,fatigue,mild,general
feel ko may fatigue,fatigue,symptom,fatigue,mild,general
ginbody weakness,fatigue,symptom,fatigue,mild,general
complain ko kay ginakapoy halin sang gabii ko,fatigue,symptom,fatigue,mild,general
body weakness gid,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko ako,fatigue,symptom,fatigue,mild,general
feel ko nga weakness karon subong,fatigue,symptom,fatigue,mild,general
ginamaluya bah,fatigue,symptom,fatigue,mild,general
ginakapoy / fatigue,fatigue,symptom,fatigue,mild,general
ginamaluya,fatigue,symptom,fatigue,mild,general
may ara ko nga ginamaluya halin sang aga gid ko,fatigue,symptom,fatigue,mild,general
weakness subong,fatigue,symptom,fatigue,mild,general
ginakapoy gid,fatigue,symptom,fatigue,mild,general
amuni maluya pirmi ako,fatigue,symptom,fatigue,mild,general
"doktor, ginakapoy sige bah",fatigue,symptom,fatigue,mild,general
body weakness talaga,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko na gid,fatigue,symptom,fatigue,mild,general
may kapoy gid lawas ko,fatigue,symptom,fatigue,mild,general
"doktor, kapoy kagapon ako",fatigue,symptom,fatigue,mild,general
pareho ginamaluya kagapon gid ako,fatigue,symptom,fatigue,mild,general
nagbody weakness,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko man,fatigue,symptom,fatigue,mild,general
"doc, ginakapoy halin sang gabii",fatigue,symptom,fatigue,mild,general
kapoy gid,fatigue,symptom,fatigue,mild,general
kapoy bah,fatigue,symptom,fatigue,mild,general
ginakapoy man,fatigue,symptom,fatigue,mild,general
complain ko kay kapoy subong ako,fatigue,symptom,fatigue,mild,general
basin maluya subong man,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko talaga,fatigue,symptom,fatigue,mild,general
luya sige subong,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko bah,fatigue,symptom,fatigue,mild,general
sige ko maluya kagapon man,fatigue,symptom,fatigue,mild,general
sige ko kapoy karon gid ako,fatigue,symptom,fatigue,mild,general
daw ginamaluya halin sang aga bah,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko po,fatigue,symptom,fatigue,mild,general
may maluya,fatigue,symptom,fatigue,mild,general
may weakness,fatigue,symptom,fatigue,mild,general
"doktor, maluya halin sang gabii",fatigue,symptom,fatigue,mild,general
luya subong,fatigue,symptom,fatigue,mild,general
kapoy ko,fatigue,symptom,fatigue,mild,general
kapoy ako,fatigue,symptom,fatigue,mild,general
sige ko luya karon na gid,fatigue,symptom,fatigue,mild,general
body weakness subong,fatigue,symptom,fatigue,mild,general
kapoy / fatigue,fatigue,symptom,fatigue,mild,general
maluya po,fatigue,symptom,fatigue,mild,general
may fatigue ko,fatigue,symptom,fatigue,mild,general
nagkapoy gid lawas ko,fatigue,symptom,fatigue,mild,general
complain ko kay ginamaluya since kagapon na gid,fatigue,symptom,fatigue,mild,general
ginakapoy gid ko,fatigue,symptom,fatigue,mild,general
maluya bah,fatigue,symptom,fatigue,mild,general
luya po,fatigue,symptom,fatigue,mild,general
sige ko weakness pirmi na gid,fatigue,symptom,fatigue,mild,general
ginamaluya na gid,fatigue,symptom,fatigue,mild,general
feel ko nga luya halin sang gabii gid ako,fatigue,symptom,fatigue,mild,general
maluya subong,fatigue,symptom,fatigue,mild,general
kapoy gid lawas ko gid,fatigue,symptom,fatigue,mild,general
daw weakness karon gid ko,fatigue,symptom,fatigue,mild,general
body weakness,fatigue,symptom,fatigue,mild,general
weakness,fatigue,symptom,fatigue,mild,general
luya ako,fatigue,symptom,fatigue,mild,general
maluya gid ko,fatigue,symptom,fatigue,mild,general
"doc, kapoy kagapon ako",fatigue,symptom,fatigue,mild,general
daw ginakapoy pirmi gid,fatigue,symptom,fatigue,mild,general
maluya man,fatigue,symptom,fatigue,mild,general
luya ko,fatigue,symptom,fatigue,mild,general
body weakness ko,fatigue,symptom,fatigue,mild,general
"dok, ginakapoy karon subong",fatigue,symptom,fatigue,mild,general
maluya talaga,fatigue,symptom,fatigue,mild,general
ginamaluya ko,fatigue,symptom,fatigue,mild,general
amuni luya kagapon bah,fatigue,symptom,fatigue,mild,general
daw ginamaluya karon bah,fatigue,symptom,fatigue,mild,general
body weakness man,fatigue,symptom,fatigue,mild,general
basin luya kagapon gid,fatigue,symptom,fatigue,mild,general
ginakapoy subong,fatigue,symptom,fatigue,mild,general
amuni weakness karon gid ko,fatigue,symptom,fatigue,mild,general
luya gid,fatigue,symptom,fatigue,mild,general
kapoy man,fatigue,symptom,fatigue,mild,general
"doktor, ginakapoy subong man",fatigue,symptom,fatigue,mild,general
kapoy talaga,fatigue,symptom,fatigue,mild,general
kapoy po,fatigue,symptom,fatigue,mild,general
weakness bah,fatigue,symptom,fatigue,mild,general
body weakness gid ko,fatigue,symptom,fatigue,mild,general
may luya,fatigue,symptom,fatigue,mild,general
